story_id,prediction
48431,1
49307,1
46652,1
45569,1
47395,1
46919,0
50240,1
49868,1
46063,1
48156,0
48539,1
47772,1
47606,1
49034,0
47411,0
47723,1
49725,1
45689,1
47599,0
48402,1
48743,1
47446,0
49937,1
46303,1
49318,1
45664,1
49944,1
48808,1
47811,1
50130,0
46541,1
46856,0
47470,1
50460,1
48236,1
46220,1
47980,1
50480,0
47120,1
48732,0
46440,0
49209,1
50312,1
46429,0
49582,1
47815,1
48191,0
46408,1
49735,1
49713,0
47399,0
46191,1
49252,1
48270,1
50022,0
50538,1
47289,0
46897,1
45643,1
46767,1
48064,1
47543,1
46255,1
50196,0
47684,0
47814,1
47520,1
46257,0
46310,1
50041,1
48010,1
47876,1
48277,1
45841,1
46649,1
47770,1
48292,0
48744,0
45976,1
47074,0
48231,1
50085,1
45982,1
48130,1
45795,0
46961,1
49483,1
46281,1
45732,1
47836,0
46944,1
45777,1
49250,1
45672,1
48957,1
48309,1
46706,1
48063,1
48977,1
46064,1
