story_id,prediction
48431,0
49307,1
46652,0
45569,1
47395,0
46919,0
50240,0
46063,0
48156,1
50160,1
48539,0
47606,1
47411,0
47723,1
49725,0
45689,0
48743,0
47446,1
49937,0
46303,1
49318,0
49944,0
48808,0
47811,0
50130,1
46541,0
46856,0
47470,0
50460,1
46220,0
50480,1
49491,1
47120,0
48732,0
46440,0
50312,1
46429,1
47815,1
48191,0
49735,1
49713,0
47399,0
46191,0
49252,1
48270,0
50022,0
47289,0
46897,1
45643,1
48064,0
46255,0
50196,0
47684,0
47814,0
47520,1
46257,1
46310,0
48010,0
47876,1
48277,1
45841,1
46649,0
48292,0
48744,1
45976,1
47074,0
48231,0
50085,1
45982,0
45795,0
46961,1
49483,0
48428,0
46281,0
45732,1
47836,0
46944,1
45777,0
49250,0
45672,0
48957,0
48309,0
46706,0
48063,1
48977,0
50041,1
46064,0
49349,0
45668,0
46394,0
48024,0
46246,0
46086,1
46463,0
49765,0
47173,1
45574,0
49299,1
47590,1
47838,0
