id,round,image_id,caption,question_id,question,answer_id,answer
0,1,185565,a bedroom is filled with lots of posters and a busy computer desk,9367,is the photo in color,4754,yes
0,2,185565,a bedroom is filled with lots of posters and a busy computer desk,16865,is it a professional photo,15736,no
0,3,185565,a bedroom is filled with lots of posters and a busy computer desk,43028,is it well lit,15736,no
0,4,185565,a bedroom is filled with lots of posters and a busy computer desk,12354,is it daytime,9119,i don't see windows
0,5,185565,a bedroom is filled with lots of posters and a busy computer desk,41873,does this look like an adults bedroom,13691,maybe
0,6,185565,a bedroom is filled with lots of posters and a busy computer desk,13894,is the room clean,15736,no
0,7,185565,a bedroom is filled with lots of posters and a busy computer desk,17528,can you tell what kind of computer it is,28054,no not really
0,8,185565,a bedroom is filled with lots of posters and a busy computer desk,39195,is it a flat screen,4754,yes
0,9,185565,a bedroom is filled with lots of posters and a busy computer desk,41479,what's the desk made out of,23789,cheap plastic or wood
0,10,185565,a bedroom is filled with lots of posters and a busy computer desk,35147,is there a computer chair,4754,yes
1,1,284024,a woman sits on a bench holding a guitar in her lap,41876,is this in a park,14927,"yes, i believe it is"
1,2,284024,a woman sits on a bench holding a guitar in her lap,4053,are there others around,21322,"no, she is alone"
1,3,284024,a woman sits on a bench holding a guitar in her lap,21804,does she have a collection bucket,15736,no
1,4,284024,a woman sits on a bench holding a guitar in her lap,39720,is her hair long,14992,"yes, pretty long"
1,5,284024,a woman sits on a bench holding a guitar in her lap,18435,is she wearing a dress,11527,"i don't think so, hard to tell"
1,6,284024,a woman sits on a bench holding a guitar in her lap,8997,does she have shoes on,15612,"yes, flip flops"
1,7,284024,a woman sits on a bench holding a guitar in her lap,31284,is there grass nearby,23705,"yes, everywhere"
1,8,284024,a woman sits on a bench holding a guitar in her lap,13702,is it a sunny day,4754,yes
1,9,284024,a woman sits on a bench holding a guitar in her lap,26265,are there trees,22451,in the background there are trees
1,10,284024,a woman sits on a bench holding a guitar in her lap,40327,is the guitar new,1352,i don't think so
2,1,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,16859,is this in the bathroom,4754,yes
2,2,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,7315,does he look sad,15960,he looks puzzled
2,3,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,27570,how old is he,1482,my best guess would be between 18 and 25
2,4,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,44417,puzzled like he drank to much last night and isn’t sure where he is,12900,he is facing a mirror and looking down at something i cannot see
2,5,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,39791,does the bathroom appear to be nice,17791,i can only see the mirror and a part of the sink
2,6,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,12847,does he have a beard,15736,no
2,7,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,18067,is he wearing a shirt,15736,no
2,8,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,40567,is he wearing glasses,4754,yes
2,9,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,21680,is he wearing a watch,15736,no
2,10,574189,a black and white photo of a man with glasses and dark short trunks stands in front of a mirror looking down at the sink,37088,any tattoos,15736,no
3,1,148816,a woman feeding a large black and white bird,31421,is the picture in color,4754,yes
3,2,148816,a woman feeding a large black and white bird,14836,how old does the woman look,20684,maybe late 20's to early 30's
3,3,148816,a woman feeding a large black and white bird,36004,are there any other people,7952,"no, just her and the bird"
3,4,148816,a woman feeding a large black and white bird,20192,are there any animals,16517,just the bird
3,5,148816,a woman feeding a large black and white bird,11845,what is she feeding the bird,33509,"i can't tell, but it looks like a small rodent"
3,6,148816,a woman feeding a large black and white bird,5416,is she wearing a hat,4754,yes
3,7,148816,a woman feeding a large black and white bird,13236,what color is her shirt,29839,mauve
